model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
ru_modern_bert_base,0.02,0.74,0.24,0.6957
ru_modern_bert_base,0.02,0.76,0.21999999999999997,0.6945
ru_modern_bert_base,0.02,0.78,0.19999999999999996,0.6941999999999999
ru_modern_bert_base,0.02,0.8,0.17999999999999994,0.6934
ru_modern_bert_base,0.02,0.8200000000000001,0.15999999999999992,0.6928
ru_modern_bert_base,0.02,0.84,0.14,0.6925999999999999
ru_modern_bert_base,0.02,0.86,0.12,0.6917000000000001
ru_modern_bert_base,0.02,0.88,0.09999999999999998,0.6910999999999999
ru_modern_bert_base,0.02,0.9,0.07999999999999996,0.6902
ru_modern_bert_base,0.02,0.92,0.05999999999999994,0.6898
ru_modern_bert_base,0.02,0.9400000000000001,0.039999999999999925,0.6895999999999999
ru_modern_bert_base,0.02,0.96,0.020000000000000018,0.6894
ru_modern_bert_base,0.02,0.98,0.0,0.6857000000000001
ru_modern_bert_base,0.04,0.0,0.96,0.7229000000000001
ru_modern_bert_base,0.04,0.02,0.94,0.7265
ru_modern_bert_base,0.04,0.04,0.9199999999999999,0.7259000000000001
ru_modern_bert_base,0.04,0.06,0.8999999999999999,0.7233999999999999
ru_modern_bert_base,0.04,0.08,0.88,0.7238
ru_modern_bert_base,0.04,0.1,0.86,0.7248
ru_modern_bert_base,0.04,0.12,0.84,0.724
ru_modern_bert_base,0.04,0.14,0.82,0.7230999999999999
ru_modern_bert_base,0.04,0.16,0.7999999999999999,0.7215
ru_modern_bert_base,0.04,0.18,0.78,0.7205
ru_modern_bert_base,0.04,0.2,0.76,0.7189
ru_modern_bert_base,0.04,0.22,0.74,0.7181
ru_modern_bert_base,0.04,0.24,0.72,0.7165
ru_modern_bert_base,0.04,0.26,0.7,0.7156999999999999
ru_modern_bert_base,0.04,0.28,0.6799999999999999,0.7143
ru_modern_bert_base,0.04,0.3,0.6599999999999999,0.7128
ru_modern_bert_base,0.04,0.32,0.6399999999999999,0.7112999999999999
ru_modern_bert_base,0.04,0.34,0.6199999999999999,0.7095
ru_modern_bert_base,0.04,0.36,0.6,0.7097
ru_modern_bert_base,0.04,0.38,0.58,0.7078
ru_modern_bert_base,0.04,0.4,0.5599999999999999,0.7068
ru_modern_bert_base,0.04,0.42,0.54,0.7064000000000001
ru_modern_bert_base,0.04,0.44,0.52,0.7045
ru_modern_bert_base,0.04,0.46,0.49999999999999994,0.7031000000000001
ru_modern_bert_base,0.04,0.48,0.48,0.7027
ru_modern_bert_base,0.04,0.5,0.45999999999999996,0.7022
ru_modern_bert_base,0.04,0.52,0.43999999999999995,0.7012999999999999
ru_modern_bert_base,0.04,0.54,0.41999999999999993,0.7003
ru_modern_bert_base,0.04,0.56,0.3999999999999999,0.6999000000000001
ru_modern_bert_base,0.04,0.58,0.38,0.6991000000000002
ru_modern_bert_base,0.04,0.6,0.36,0.6979000000000001
ru_modern_bert_base,0.04,0.62,0.33999999999999997,0.6968000000000001
ru_modern_bert_base,0.04,0.64,0.31999999999999995,0.6965
ru_modern_bert_base,0.04,0.66,0.29999999999999993,0.6962999999999999
ru_modern_bert_base,0.04,0.68,0.2799999999999999,0.6958
ru_modern_bert_base,0.04,0.7000000000000001,0.2599999999999999,0.6957
ru_modern_bert_base,0.04,0.72,0.24,0.6952
ru_modern_bert_base,0.04,0.74,0.21999999999999997,0.6945
ru_modern_bert_base,0.04,0.76,0.19999999999999996,0.6939
ru_modern_bert_base,0.04,0.78,0.17999999999999994,0.6935
ru_modern_bert_base,0.04,0.8,0.15999999999999992,0.6927000000000001
ru_modern_bert_base,0.04,0.8200000000000001,0.1399999999999999,0.6921
ru_modern_bert_base,0.04,0.84,0.12,0.692
ru_modern_bert_base,0.04,0.86,0.09999999999999998,0.6913
ru_modern_bert_base,0.04,0.88,0.07999999999999996,0.6904
ru_modern_bert_base,0.04,0.9,0.05999999999999994,0.69
ru_modern_bert_base,0.04,0.92,0.039999999999999925,0.6896
ru_modern_bert_base,0.04,0.9400000000000001,0.019999999999999907,0.6895
ru_modern_bert_base,0.04,0.96,0.0,0.686
ru_modern_bert_base,0.06,0.0,0.94,0.7261000000000002
ru_modern_bert_base,0.06,0.02,0.9199999999999999,0.7261
ru_modern_bert_base,0.06,0.04,0.8999999999999999,0.7239000000000001
ru_modern_bert_base,0.06,0.06,0.8799999999999999,0.7232000000000001
ru_modern_bert_base,0.06,0.08,0.86,0.7246999999999999
ru_modern_bert_base,0.06,0.1,0.84,0.7249000000000001
ru_modern_bert_base,0.06,0.12,0.82,0.7231000000000001
ru_modern_bert_base,0.06,0.14,0.7999999999999999,0.7212000000000001
ru_modern_bert_base,0.06,0.16,0.7799999999999999,0.7203
ru_modern_bert_base,0.06,0.18,0.76,0.7182999999999999
ru_modern_bert_base,0.06,0.2,0.74,0.718
ru_modern_bert_base,0.06,0.22,0.72,0.7162000000000001
ru_modern_bert_base,0.06,0.24,0.7,0.7165
ru_modern_bert_base,0.06,0.26,0.6799999999999999,0.7153999999999999
ru_modern_bert_base,0.06,0.28,0.6599999999999999,0.713
ru_modern_bert_base,0.06,0.3,0.6399999999999999,0.7119
ru_modern_bert_base,0.06,0.32,0.6199999999999999,0.7095999999999999
ru_modern_bert_base,0.06,0.34,0.5999999999999999,0.7089
ru_modern_bert_base,0.06,0.36,0.58,0.7081
ru_modern_bert_base,0.06,0.38,0.5599999999999999,0.7063999999999999
ru_modern_bert_base,0.06,0.4,0.5399999999999999,0.7054000000000001
ru_modern_bert_base,0.06,0.42,0.52,0.7048
ru_modern_bert_base,0.06,0.44,0.49999999999999994,0.7042999999999999
ru_modern_bert_base,0.06,0.46,0.4799999999999999,0.7032
ru_modern_bert_base,0.06,0.48,0.45999999999999996,0.7019000000000001
ru_modern_bert_base,0.06,0.5,0.43999999999999995,0.7015
ru_modern_bert_base,0.06,0.52,0.41999999999999993,0.7008
ru_modern_bert_base,0.06,0.54,0.3999999999999999,0.7
ru_modern_bert_base,0.06,0.56,0.3799999999999999,0.6995
ru_modern_bert_base,0.06,0.58,0.36,0.6978000000000001
ru_modern_bert_base,0.06,0.6,0.33999999999999997,0.6965999999999999
ru_modern_bert_base,0.06,0.62,0.31999999999999995,0.6965999999999999
ru_modern_bert_base,0.06,0.64,0.29999999999999993,0.6961
ru_modern_bert_base,0.06,0.66,0.2799999999999999,0.696
ru_modern_bert_base,0.06,0.68,0.2599999999999999,0.6959000000000001
ru_modern_bert_base,0.06,0.7000000000000001,0.23999999999999988,0.6951
ru_modern_bert_base,0.06,0.72,0.21999999999999997,0.6947000000000001
ru_modern_bert_base,0.06,0.74,0.19999999999999996,0.6935
ru_modern_bert_base,0.06,0.76,0.17999999999999994,0.693
ru_modern_bert_base,0.06,0.78,0.15999999999999992,0.6926
ru_modern_bert_base,0.06,0.8,0.1399999999999999,0.6924
ru_modern_bert_base,0.06,0.8200000000000001,0.11999999999999988,0.6918
ru_modern_bert_base,0.06,0.84,0.09999999999999998,0.6912999999999999
ru_modern_bert_base,0.06,0.86,0.07999999999999996,0.6908
ru_modern_bert_base,0.06,0.88,0.05999999999999994,0.6901999999999999
ru_modern_bert_base,0.06,0.9,0.039999999999999925,0.6896
ru_modern_bert_base,0.06,0.92,0.019999999999999907,0.6895
ru_modern_bert_base,0.08,0.0,0.92,0.7255
ru_modern_bert_base,0.08,0.02,0.9,0.7232999999999999
ru_modern_bert_base,0.08,0.04,0.88,0.7234
ru_modern_bert_base,0.08,0.06,0.8600000000000001,0.7247
ru_modern_bert_base,0.08,0.08,0.8400000000000001,0.7242999999999999
ru_modern_bert_base,0.08,0.1,0.8200000000000001,0.724
ru_modern_bert_base,0.08,0.12,0.8,0.7225
ru_modern_bert_base,0.08,0.14,0.78,0.7202999999999999
ru_modern_bert_base,0.08,0.16,0.76,0.7186999999999999
ru_modern_bert_base,0.08,0.18,0.74,0.7179
ru_modern_bert_base,0.08,0.2,0.72,0.7174
ru_modern_bert_base,0.08,0.22,0.7000000000000001,0.7162000000000001
ru_modern_bert_base,0.08,0.24,0.68,0.7152000000000001
ru_modern_bert_base,0.08,0.26,0.66,0.7132999999999999
ru_modern_bert_base,0.08,0.28,0.64,0.7119
ru_modern_bert_base,0.08,0.3,0.6200000000000001,0.71
