model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
rubert_tiny2,0.02,0.86,0.12,0.6994000000000001
rubert_tiny2,0.02,0.88,0.09999999999999998,0.6976
rubert_tiny2,0.02,0.9,0.07999999999999996,0.6968
rubert_tiny2,0.02,0.92,0.05999999999999994,0.6955
rubert_tiny2,0.02,0.9400000000000001,0.039999999999999925,0.6937000000000001
rubert_tiny2,0.02,0.96,0.020000000000000018,0.6921
rubert_tiny2,0.02,0.98,0.0,0.6857000000000001
rubert_tiny2,0.04,0.0,0.96,0.7732
rubert_tiny2,0.04,0.02,0.94,0.7736000000000001
rubert_tiny2,0.04,0.04,0.9199999999999999,0.773
rubert_tiny2,0.04,0.06,0.8999999999999999,0.773
rubert_tiny2,0.04,0.08,0.88,0.7729
rubert_tiny2,0.04,0.1,0.86,0.7722
rubert_tiny2,0.04,0.12,0.84,0.7709000000000001
rubert_tiny2,0.04,0.14,0.82,0.7705
rubert_tiny2,0.04,0.16,0.7999999999999999,0.7690000000000001
rubert_tiny2,0.04,0.18,0.78,0.7677
rubert_tiny2,0.04,0.2,0.76,0.7646000000000001
rubert_tiny2,0.04,0.22,0.74,0.7616000000000002
rubert_tiny2,0.04,0.24,0.72,0.7604000000000001
rubert_tiny2,0.04,0.26,0.7,0.7576
rubert_tiny2,0.04,0.28,0.6799999999999999,0.7547999999999999
rubert_tiny2,0.04,0.3,0.6599999999999999,0.7534000000000001
rubert_tiny2,0.04,0.32,0.6399999999999999,0.7503
rubert_tiny2,0.04,0.34,0.6199999999999999,0.748
rubert_tiny2,0.04,0.36,0.6,0.747
rubert_tiny2,0.04,0.38,0.58,0.7449
rubert_tiny2,0.04,0.4,0.5599999999999999,0.7431000000000001
rubert_tiny2,0.04,0.42,0.54,0.7409000000000001
rubert_tiny2,0.04,0.44,0.52,0.7387999999999999
rubert_tiny2,0.04,0.46,0.49999999999999994,0.737
rubert_tiny2,0.04,0.48,0.48,0.7352000000000001
rubert_tiny2,0.04,0.5,0.45999999999999996,0.7325
rubert_tiny2,0.04,0.52,0.43999999999999995,0.7304
rubert_tiny2,0.04,0.54,0.41999999999999993,0.7281
rubert_tiny2,0.04,0.56,0.3999999999999999,0.7265
rubert_tiny2,0.04,0.58,0.38,0.7240999999999999
rubert_tiny2,0.04,0.6,0.36,0.7229000000000001
rubert_tiny2,0.04,0.62,0.33999999999999997,0.7199000000000001
rubert_tiny2,0.04,0.64,0.31999999999999995,0.7183999999999999
rubert_tiny2,0.04,0.66,0.29999999999999993,0.7165999999999999
rubert_tiny2,0.04,0.68,0.2799999999999999,0.7145
rubert_tiny2,0.04,0.7000000000000001,0.2599999999999999,0.7127
rubert_tiny2,0.04,0.72,0.24,0.7106
rubert_tiny2,0.04,0.74,0.21999999999999997,0.7082
rubert_tiny2,0.04,0.76,0.19999999999999996,0.7055
rubert_tiny2,0.04,0.78,0.17999999999999994,0.7041000000000001
rubert_tiny2,0.04,0.8,0.15999999999999992,0.7021000000000001
rubert_tiny2,0.04,0.8200000000000001,0.1399999999999999,0.7011999999999999
rubert_tiny2,0.04,0.84,0.12,0.6992999999999999
rubert_tiny2,0.04,0.86,0.09999999999999998,0.6982
rubert_tiny2,0.04,0.88,0.07999999999999996,0.6969000000000001
rubert_tiny2,0.04,0.9,0.05999999999999994,0.6956
rubert_tiny2,0.04,0.92,0.039999999999999925,0.6937000000000001
rubert_tiny2,0.04,0.9400000000000001,0.019999999999999907,0.692
rubert_tiny2,0.04,0.96,0.0,0.686
rubert_tiny2,0.06,0.0,0.94,0.7731
rubert_tiny2,0.06,0.02,0.9199999999999999,0.7726000000000001
rubert_tiny2,0.06,0.04,0.8999999999999999,0.7734000000000001
rubert_tiny2,0.06,0.06,0.8799999999999999,0.7726000000000001
rubert_tiny2,0.06,0.08,0.86,0.7716999999999999
rubert_tiny2,0.06,0.1,0.84,0.7714
rubert_tiny2,0.06,0.12,0.82,0.7706
rubert_tiny2,0.06,0.14,0.7999999999999999,0.7689000000000001
rubert_tiny2,0.06,0.16,0.7799999999999999,0.7672
rubert_tiny2,0.06,0.18,0.76,0.7645
rubert_tiny2,0.06,0.2,0.74,0.762
rubert_tiny2,0.06,0.22,0.72,0.7602000000000001
rubert_tiny2,0.06,0.24,0.7,0.7575
rubert_tiny2,0.06,0.26,0.6799999999999999,0.7553
rubert_tiny2,0.06,0.28,0.6599999999999999,0.7535
rubert_tiny2,0.06,0.3,0.6399999999999999,0.7505
rubert_tiny2,0.06,0.32,0.6199999999999999,0.7479000000000001
rubert_tiny2,0.06,0.34,0.5999999999999999,0.7467
rubert_tiny2,0.06,0.36,0.58,0.7452000000000001
rubert_tiny2,0.06,0.38,0.5599999999999999,0.7434000000000001
rubert_tiny2,0.06,0.4,0.5399999999999999,0.741
rubert_tiny2,0.06,0.42,0.52,0.7387999999999999
rubert_tiny2,0.06,0.44,0.49999999999999994,0.737
rubert_tiny2,0.06,0.46,0.4799999999999999,0.735
rubert_tiny2,0.06,0.48,0.45999999999999996,0.7327
