model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert_nlu_ru,0.02,0.72,0.26,0.7102999999999999
sbert_nlu_ru,0.02,0.74,0.24,0.7089000000000001
sbert_nlu_ru,0.02,0.76,0.21999999999999997,0.7068
sbert_nlu_ru,0.02,0.78,0.19999999999999996,0.7049
sbert_nlu_ru,0.02,0.8,0.17999999999999994,0.7036000000000001
sbert_nlu_ru,0.02,0.8200000000000001,0.15999999999999992,0.7015
sbert_nlu_ru,0.02,0.84,0.14,0.7004
sbert_nlu_ru,0.02,0.86,0.12,0.6989
sbert_nlu_ru,0.02,0.88,0.09999999999999998,0.6975999999999999
sbert_nlu_ru,0.02,0.9,0.07999999999999996,0.6961000000000002
sbert_nlu_ru,0.02,0.92,0.05999999999999994,0.6935
sbert_nlu_ru,0.02,0.9400000000000001,0.039999999999999925,0.6918
sbert_nlu_ru,0.02,0.96,0.020000000000000018,0.6906
sbert_nlu_ru,0.02,0.98,0.0,0.6857000000000001
sbert_nlu_ru,0.04,0.0,0.96,0.7319000000000001
sbert_nlu_ru,0.04,0.02,0.94,0.7384
sbert_nlu_ru,0.04,0.04,0.9199999999999999,0.742
sbert_nlu_ru,0.04,0.06,0.8999999999999999,0.7457999999999999
sbert_nlu_ru,0.04,0.08,0.88,0.7500999999999999
sbert_nlu_ru,0.04,0.1,0.86,0.7524
sbert_nlu_ru,0.04,0.12,0.84,0.7526
sbert_nlu_ru,0.04,0.14,0.82,0.7519
sbert_nlu_ru,0.04,0.16,0.7999999999999999,0.7501
sbert_nlu_ru,0.04,0.18,0.78,0.7493
sbert_nlu_ru,0.04,0.2,0.76,0.7483
sbert_nlu_ru,0.04,0.22,0.74,0.7477
sbert_nlu_ru,0.04,0.24,0.72,0.7444000000000001
sbert_nlu_ru,0.04,0.26,0.7,0.7424
sbert_nlu_ru,0.04,0.28,0.6799999999999999,0.7406
sbert_nlu_ru,0.04,0.3,0.6599999999999999,0.7410999999999999
sbert_nlu_ru,0.04,0.32,0.6399999999999999,0.7404000000000001
sbert_nlu_ru,0.04,0.34,0.6199999999999999,0.7389000000000001
sbert_nlu_ru,0.04,0.36,0.6,0.7376
sbert_nlu_ru,0.04,0.38,0.58,0.7353999999999999
sbert_nlu_ru,0.04,0.4,0.5599999999999999,0.7357
sbert_nlu_ru,0.04,0.42,0.54,0.7331
sbert_nlu_ru,0.04,0.44,0.52,0.7322000000000001
sbert_nlu_ru,0.04,0.46,0.49999999999999994,0.7308000000000001
sbert_nlu_ru,0.04,0.48,0.48,0.7285
sbert_nlu_ru,0.04,0.5,0.45999999999999996,0.7271
sbert_nlu_ru,0.04,0.52,0.43999999999999995,0.7246
sbert_nlu_ru,0.04,0.54,0.41999999999999993,0.7228
sbert_nlu_ru,0.04,0.56,0.3999999999999999,0.721
sbert_nlu_ru,0.04,0.58,0.38,0.7198000000000001
sbert_nlu_ru,0.04,0.6,0.36,0.718
sbert_nlu_ru,0.04,0.62,0.33999999999999997,0.7162999999999999
sbert_nlu_ru,0.04,0.64,0.31999999999999995,0.7154
sbert_nlu_ru,0.04,0.66,0.29999999999999993,0.714
sbert_nlu_ru,0.04,0.68,0.2799999999999999,0.7122
sbert_nlu_ru,0.04,0.7000000000000001,0.2599999999999999,0.711
sbert_nlu_ru,0.04,0.72,0.24,0.7091
sbert_nlu_ru,0.04,0.74,0.21999999999999997,0.7072999999999999
sbert_nlu_ru,0.04,0.76,0.19999999999999996,0.705
sbert_nlu_ru,0.04,0.78,0.17999999999999994,0.7041000000000001
sbert_nlu_ru,0.04,0.8,0.15999999999999992,0.702
sbert_nlu_ru,0.04,0.8200000000000001,0.1399999999999999,0.7006
sbert_nlu_ru,0.04,0.84,0.12,0.6989000000000001
sbert_nlu_ru,0.04,0.86,0.09999999999999998,0.6974000000000001
sbert_nlu_ru,0.04,0.88,0.07999999999999996,0.6955
sbert_nlu_ru,0.04,0.9,0.05999999999999994,0.6932
sbert_nlu_ru,0.04,0.92,0.039999999999999925,0.692
sbert_nlu_ru,0.04,0.9400000000000001,0.019999999999999907,0.6905
sbert_nlu_ru,0.04,0.96,0.0,0.686
sbert_nlu_ru,0.06,0.0,0.94,0.7377
sbert_nlu_ru,0.06,0.02,0.9199999999999999,0.7415
sbert_nlu_ru,0.06,0.04,0.8999999999999999,0.7461000000000001
sbert_nlu_ru,0.06,0.06,0.8799999999999999,0.7504
sbert_nlu_ru,0.06,0.08,0.86,0.7519
sbert_nlu_ru,0.06,0.1,0.84,0.7530999999999999
sbert_nlu_ru,0.06,0.12,0.82,0.7521000000000001
sbert_nlu_ru,0.06,0.14,0.7999999999999999,0.7504000000000001
sbert_nlu_ru,0.06,0.16,0.7799999999999999,0.7495
sbert_nlu_ru,0.06,0.18,0.76,0.7488
sbert_nlu_ru,0.06,0.2,0.74,0.7480000000000001
sbert_nlu_ru,0.06,0.22,0.72,0.7453
sbert_nlu_ru,0.06,0.24,0.7,0.7423
sbert_nlu_ru,0.06,0.26,0.6799999999999999,0.741
sbert_nlu_ru,0.06,0.28,0.6599999999999999,0.7411
sbert_nlu_ru,0.06,0.3,0.6399999999999999,0.7409000000000001
sbert_nlu_ru,0.06,0.32,0.6199999999999999,0.7389000000000001
sbert_nlu_ru,0.06,0.34,0.5999999999999999,0.7376
sbert_nlu_ru,0.06,0.36,0.58,0.7363
sbert_nlu_ru,0.06,0.38,0.5599999999999999,0.7356
sbert_nlu_ru,0.06,0.4,0.5399999999999999,0.7333999999999999
sbert_nlu_ru,0.06,0.42,0.52,0.7328
sbert_nlu_ru,0.06,0.44,0.49999999999999994,0.7303
sbert_nlu_ru,0.06,0.46,0.4799999999999999,0.7283999999999999
sbert_nlu_ru,0.06,0.48,0.45999999999999996,0.7273000000000001
sbert_nlu_ru,0.06,0.5,0.43999999999999995,0.7244
sbert_nlu_ru,0.06,0.52,0.41999999999999993,0.723
sbert_nlu_ru,0.06,0.54,0.3999999999999999,0.7215
sbert_nlu_ru,0.06,0.56,0.3799999999999999,0.7198
sbert_nlu_ru,0.06,0.58,0.36,0.7182
sbert_nlu_ru,0.06,0.6,0.33999999999999997,0.7172000000000001
sbert_nlu_ru,0.06,0.62,0.31999999999999995,0.7158
sbert_nlu_ru,0.06,0.64,0.29999999999999993,0.714
sbert_nlu_ru,0.06,0.66,0.2799999999999999,0.7129000000000001
sbert_nlu_ru,0.06,0.68,0.2599999999999999,0.7115
sbert_nlu_ru,0.06,0.7000000000000001,0.23999999999999988,0.7096999999999999
sbert_nlu_ru,0.06,0.72,0.21999999999999997,0.7074000000000001
sbert_nlu_ru,0.06,0.74,0.19999999999999996,0.7054
sbert_nlu_ru,0.06,0.76,0.17999999999999994,0.7047
sbert_nlu_ru,0.06,0.78,0.15999999999999992,0.7029
sbert_nlu_ru,0.06,0.8,0.1399999999999999,0.7012999999999999
sbert_nlu_ru,0.06,0.8200000000000001,0.11999999999999988,0.6994000000000001
sbert_nlu_ru,0.06,0.84,0.09999999999999998,0.6972999999999999
sbert_nlu_ru,0.06,0.86,0.07999999999999996,0.6957000000000001
sbert_nlu_ru,0.06,0.88,0.05999999999999994,0.6936
sbert_nlu_ru,0.06,0.9,0.039999999999999925,0.6919
sbert_nlu_ru,0.06,0.92,0.019999999999999907,0.6906
sbert_nlu_ru,0.08,0.0,0.92,0.7415
sbert_nlu_ru,0.08,0.02,0.9,0.7453
sbert_nlu_ru,0.08,0.04,0.88,0.7506
sbert_nlu_ru,0.08,0.06,0.8600000000000001,0.7526
sbert_nlu_ru,0.08,0.08,0.8400000000000001,0.7531000000000001
sbert_nlu_ru,0.08,0.1,0.8200000000000001,0.7513000000000002
sbert_nlu_ru,0.08,0.12,0.8,0.7507
sbert_nlu_ru,0.08,0.14,0.78,0.7494
sbert_nlu_ru,0.08,0.16,0.76,0.7486000000000002
sbert_nlu_ru,0.08,0.18,0.74,0.7477
sbert_nlu_ru,0.08,0.2,0.72,0.7451
