model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert,0.04,0.22,0.74,0.8831
sbert,0.04,0.24,0.72,0.8775000000000002
sbert,0.04,0.26,0.7,0.8726
sbert,0.04,0.28,0.6799999999999999,0.8663
sbert,0.04,0.3,0.6599999999999999,0.8608000000000001
sbert,0.04,0.32,0.6399999999999999,0.8547
sbert,0.04,0.34,0.6199999999999999,0.8478000000000001
sbert,0.04,0.36,0.6,0.8405
sbert,0.04,0.38,0.58,0.8353
sbert,0.04,0.4,0.5599999999999999,0.8291000000000002
sbert,0.04,0.42,0.54,0.8236000000000001
sbert,0.04,0.44,0.52,0.8172
sbert,0.04,0.46,0.49999999999999994,0.8108000000000002
sbert,0.04,0.48,0.48,0.8057000000000001
sbert,0.04,0.5,0.45999999999999996,0.8013000000000001
sbert,0.04,0.52,0.43999999999999995,0.7971
sbert,0.04,0.54,0.41999999999999993,0.7904
sbert,0.04,0.56,0.3999999999999999,0.7848999999999999
sbert,0.04,0.58,0.38,0.7807000000000001
sbert,0.04,0.6,0.36,0.7748
sbert,0.04,0.62,0.33999999999999997,0.7702
sbert,0.04,0.64,0.31999999999999995,0.7653000000000001
sbert,0.04,0.66,0.29999999999999993,0.7603
sbert,0.04,0.68,0.2799999999999999,0.7554
sbert,0.04,0.7000000000000001,0.2599999999999999,0.7506
sbert,0.04,0.72,0.24,0.7462000000000001
sbert,0.04,0.74,0.21999999999999997,0.7401
sbert,0.04,0.76,0.19999999999999996,0.735
sbert,0.04,0.78,0.17999999999999994,0.7297
sbert,0.04,0.8,0.15999999999999992,0.7255
sbert,0.04,0.8200000000000001,0.1399999999999999,0.721
sbert,0.04,0.84,0.12,0.7178
sbert,0.04,0.86,0.09999999999999998,0.7121000000000001
sbert,0.04,0.88,0.07999999999999996,0.7079000000000001
sbert,0.04,0.9,0.05999999999999994,0.7035
sbert,0.04,0.92,0.039999999999999925,0.7001000000000001
sbert,0.04,0.9400000000000001,0.019999999999999907,0.6957000000000001
sbert,0.04,0.96,0.0,0.686
sbert,0.06,0.0,0.94,0.9198
sbert,0.06,0.02,0.9199999999999999,0.9185000000000001
sbert,0.06,0.04,0.8999999999999999,0.9167000000000001
sbert,0.06,0.06,0.8799999999999999,0.9145999999999999
sbert,0.06,0.08,0.86,0.9114000000000001
sbert,0.06,0.1,0.84,0.9075
sbert,0.06,0.12,0.82,0.9033
sbert,0.06,0.14,0.7999999999999999,0.8986
sbert,0.06,0.16,0.7799999999999999,0.8942
sbert,0.06,0.18,0.76,0.8888000000000001
sbert,0.06,0.2,0.74,0.883
sbert,0.06,0.22,0.72,0.8772000000000002
sbert,0.06,0.24,0.7,0.8727
sbert,0.06,0.26,0.6799999999999999,0.8664000000000001
sbert,0.06,0.28,0.6599999999999999,0.8606
sbert,0.06,0.3,0.6399999999999999,0.8551000000000001
sbert,0.06,0.32,0.6199999999999999,0.8477
sbert,0.06,0.34,0.5999999999999999,0.841
sbert,0.06,0.36,0.58,0.8353
sbert,0.06,0.38,0.5599999999999999,0.8294000000000001
sbert,0.06,0.4,0.5399999999999999,0.8233
sbert,0.06,0.42,0.52,0.8165
sbert,0.06,0.44,0.49999999999999994,0.8106
sbert,0.06,0.46,0.4799999999999999,0.8054000000000001
sbert,0.06,0.48,0.45999999999999996,0.8009000000000001
sbert,0.06,0.5,0.43999999999999995,0.7965
sbert,0.06,0.52,0.41999999999999993,0.7903
sbert,0.06,0.54,0.3999999999999999,0.7853
sbert,0.06,0.56,0.3799999999999999,0.7801
sbert,0.06,0.58,0.36,0.7755
sbert,0.06,0.6,0.33999999999999997,0.7704
sbert,0.06,0.62,0.31999999999999995,0.7652
sbert,0.06,0.64,0.29999999999999993,0.7607
sbert,0.06,0.66,0.2799999999999999,0.7559000000000001
sbert,0.06,0.68,0.2599999999999999,0.7504000000000001
sbert,0.06,0.7000000000000001,0.23999999999999988,0.7456
sbert,0.06,0.72,0.21999999999999997,0.7403
sbert,0.06,0.74,0.19999999999999996,0.7353999999999999
sbert,0.06,0.76,0.17999999999999994,0.7301
sbert,0.06,0.78,0.15999999999999992,0.7256
sbert,0.06,0.8,0.1399999999999999,0.7215
sbert,0.06,0.8200000000000001,0.11999999999999988,0.718
sbert,0.06,0.84,0.09999999999999998,0.7127
sbert,0.06,0.86,0.07999999999999996,0.7088000000000001
sbert,0.06,0.88,0.05999999999999994,0.7037
sbert,0.06,0.9,0.039999999999999925,0.7002999999999999
sbert,0.06,0.92,0.019999999999999907,0.696
sbert,0.08,0.0,0.92,0.9184000000000001
sbert,0.08,0.02,0.9,0.9166000000000001
sbert,0.08,0.04,0.88,0.9146
sbert,0.08,0.06,0.8600000000000001,0.9104000000000001
sbert,0.08,0.08,0.8400000000000001,0.9071
sbert,0.08,0.1,0.8200000000000001,0.903
sbert,0.08,0.12,0.8,0.8987
sbert,0.08,0.14,0.78,0.894
sbert,0.08,0.16,0.76,0.8891000000000001
sbert,0.08,0.18,0.74,0.8831
sbert,0.08,0.2,0.72,0.8774000000000001
sbert,0.08,0.22,0.7000000000000001,0.8726
sbert,0.08,0.24,0.68,0.8666000000000001
sbert,0.08,0.26,0.66,0.8610000000000001
sbert,0.08,0.28,0.64,0.8548000000000001
sbert,0.08,0.3,0.6200000000000001,0.8478000000000001
sbert,0.08,0.32,0.6000000000000001,0.8411000000000002
sbert,0.08,0.34,0.5800000000000001,0.8351000000000001
